chr,start,end,strand,gene,gene_id,feature,miRNA,log2FC,neglog10_p,neglog10_padj,contrast,grpA,grpB,padj,sig,background
chr1,79776111,79776202,+,Mrpl44,ENSMUSG00000026248.9,CDS,mmu-miR-31-5p,3.58,3.09,2.24,Tmem_vs_Tn,Tmem,Tn,0.00575439937337157,TRUE,TRUE
chr2,5379254,5379379,-,Camk1d,ENSMUSG00000039145.16,Intron,mmu-miR-34a-5p,3.58,3.08,2.23,Tmem_vs_Tn,Tmem,Tn,0.00588843655355589,TRUE,FALSE
chr4,133253552,133253664,-,Sytl1,ENSMUSG00000028860.13,CDS,mmu-miR-210-3p,3.58,3.08,2.23,Tmem_vs_Tn,Tmem,Tn,0.00588843655355589,TRUE,FALSE
chr10,42882540,42882669,+,Scml4,ENSMUSG00000044770.14,Intron,mmu-miR-466i-5p,-3.57,3.51,2.67,Tmem_vs_Tn,Tmem,Tn,0.00213796208950223,TRUE,FALSE
chr9,44334723,44334823,+,H2ax,ENSMUSG00000049932.3,CDS,mmu-let-7d-5p,3.54,3.82,2.97,Tmem_vs_Tn,Tmem,Tn,0.00107151930523761,TRUE,FALSE
chr15,81040823,81040931,-,Mrtfa,ENSMUSG00000042292.18,Intron,mmu-miR-466i-5p,-3.54,3.45,2.6,Tmem_vs_Tn,Tmem,Tn,0.00251188643150958,TRUE,FALSE
chr1,161036682,161036739,+,Gm23212|Gas5,ENSMUSG00000053332.13||ENSMUSG00000084667.1,Other,mmu-let-7i-5p,3.53,4.59,3.75,Tmem_vs_Tn,Tmem,Tn,0.000177827941003892,TRUE,FALSE
chr6,11900503,11900592,-,Ndufa4,ENSMUSG00000029632.7,CDS,mmu-miR-210-3p,3.53,3.02,2.17,Tmem_vs_Tn,Tmem,Tn,0.00676082975391982,TRUE,FALSE
chrM,1109,1157,+,mt-Rnr2,ENSMUSG00000064339.1,Other,mmu-miR-210-3p,3.52,2.99,2.15,Tmem_vs_Tn,Tmem,Tn,0.00707945784384138,TRUE,TRUE
chr6,11900503,11900592,-,Ndufa4,ENSMUSG00000029632.7,CDS,mmu-miR-147-3p,3.49,2.95,2.1,Tmem_vs_Tn,Tmem,Tn,0.00794328234724281,TRUE,FALSE
chr2,118609773,118609871,+,Bub1b,ENSMUSG00000040084.9,CDS,mmu-miR-92a-3p,3.49,2.93,2.08,Tmem_vs_Tn,Tmem,Tn,0.00831763771102671,TRUE,FALSE
chr2,13580053,13580151,+,Vim,ENSMUSG00000026728.9,CDS,mmu-miR-16-5p,3.48,3.41,2.57,Tmem_vs_Tn,Tmem,Tn,0.00269153480392692,TRUE,FALSE
chr17,29495364,29495515,+,Pim1,ENSMUSG00000024014.8,3' UTR,mmu-miR-33-5p,3.45,5.18,4.34,Tmem_vs_Tn,Tmem,Tn,4.57088189614875e-05,TRUE,FALSE
chr12,25094269,25094427,-,Id2,ENSMUSG00000020644.9,3' UTR,mmu-miR-142a-5p,3.45,3.91,3.07,Tmem_vs_Tn,Tmem,Tn,0.000851138038202377,TRUE,FALSE
chrM,2948,3037,+,mt-Nd1,ENSMUSG00000064341.1,CDS,mmu-miR-18a-5p,3.45,2.72,1.87,Tmem_vs_Tn,Tmem,Tn,0.0134896288259165,TRUE,TRUE
chr15,84703271,84703370,+,Prr5,ENSMUSG00000036106.15,3' UTR,mmu-miR-466i-5p,3.43,2.87,2.02,Tmem_vs_Tn,Tmem,Tn,0.00954992586021436,TRUE,FALSE
chr9,13444250,13444316,+,Maml2,ENSMUSG00000031925.17,Intron,mmu-miR-466i-5p,-3.42,3.1,2.25,Tmem_vs_Tn,Tmem,Tn,0.00562341325190349,TRUE,FALSE
chr10,42866447,42866614,+,Scml4,ENSMUSG00000044770.14,Intron,mmu-miR-466i-5p,-3.4,3.2,2.35,Tmem_vs_Tn,Tmem,Tn,0.00446683592150963,TRUE,FALSE
chr4,41739374,41739501,-,Sigmar1,ENSMUSG00000036078.16,CDS,mmu-miR-17-5p,3.4,2.76,1.91,Tmem_vs_Tn,Tmem,Tn,0.0123026877081238,TRUE,FALSE
chr15,98931971,98932051,-,Tuba1b,ENSMUSG00000023004.8,CDS,mmu-miR-24-3p,3.39,4.47,3.63,Tmem_vs_Tn,Tmem,Tn,0.000234422881531992,TRUE,FALSE
chrM,3503,3531,+,mt-Nd1,ENSMUSG00000064341.1,CDS,mmu-miR-155-5p,3.39,2.77,1.93,Tmem_vs_Tn,Tmem,Tn,0.0117489755493953,TRUE,TRUE
chr8,46637920,46638057,+,Casp3,ENSMUSG00000031628.9,CDS,mmu-miR-210-3p,3.35,2.6,1.75,Tmem_vs_Tn,Tmem,Tn,0.0177827941003892,TRUE,FALSE
chr8,126591221,126591370,-,Irf2bp2,ENSMUSG00000051495.7,CDS,mmu-miR-210-3p,3.35,2.6,1.75,Tmem_vs_Tn,Tmem,Tn,0.0177827941003892,TRUE,FALSE
chr19,9984556,9984659,+,Fth1,ENSMUSG00000024661.7,CDS,mmu-miR-92a-3p,3.3,2.79,1.94,Tmem_vs_Tn,Tmem,Tn,0.0114815362149688,TRUE,FALSE
chr2,152669574,152669675,+,H13,ENSMUSG00000019188.16,CDS,mmu-miR-210-3p,3.3,2.53,1.69,Tmem_vs_Tn,Tmem,Tn,0.0204173794466953,TRUE,FALSE
chr15,81040661,81040718,-,Mrtfa,ENSMUSG00000042292.18,Intron,mmu-miR-466i-5p,-3.27,2.71,1.86,Tmem_vs_Tn,Tmem,Tn,0.0138038426460288,TRUE,FALSE
chr7,48867072,48867210,-,E2f8,ENSMUSG00000046179.17,CDS,mmu-miR-29b-3p,3.24,2.54,1.69,Tmem_vs_Tn,Tmem,Tn,0.0204173794466953,TRUE,FALSE
chr17,39846451,39846529,+,CT010467.1,ENSMUSG00000106106.3,Other,mmu-miR-210-3p,3.22,2.53,1.68,Tmem_vs_Tn,Tmem,Tn,0.0208929613085404,TRUE,FALSE
chr1,161038310,161038378,+,Gm25789|Gas5,ENSMUSG00000065228.1||ENSMUSG00000053332.13,Other,mmu-miR-574-5p,3.22,2.51,1.66,Tmem_vs_Tn,Tmem,Tn,0.0218776162394955,TRUE,FALSE
chr15,81041547,81041607,-,Mrtfa,ENSMUSG00000042292.18,Intron,mmu-miR-466i-5p,-3.21,2.59,1.75,Tmem_vs_Tn,Tmem,Tn,0.0177827941003892,TRUE,FALSE
chr4,32356804,32356880,+,Bach2,ENSMUSG00000040270.16,Intron,mmu-miR-466i-5p,-3.2,2.97,2.13,Tmem_vs_Tn,Tmem,Tn,0.00741310241300918,TRUE,FALSE
chr6,125176649,125176737,-,Ncapd2,ENSMUSG00000038252.13,CDS,mmu-let-7d-5p,3.18,2.42,1.58,Tmem_vs_Tn,Tmem,Tn,0.0263026799189538,TRUE,FALSE
chrM,3913,4009,+,mt-Nd2,ENSMUSG00000064345.1,CDS,mmu-let-7d-5p,3.17,2.46,1.62,Tmem_vs_Tn,Tmem,Tn,0.0239883291901949,TRUE,TRUE
chrM,15014,15124,+,mt-Cytb,ENSMUSG00000064370.1,CDS,mmu-miR-147-3p,3.17,2.45,1.6,Tmem_vs_Tn,Tmem,Tn,0.0251188643150958,TRUE,TRUE
chr17,29495364,29495515,+,Pim1,ENSMUSG00000024014.8,3' UTR,mmu-miR-210-3p,3.17,2.45,1.6,Tmem_vs_Tn,Tmem,Tn,0.0251188643150958,TRUE,FALSE
chr9,13516722,13516808,+,Maml2,ENSMUSG00000031925.17,Intron,mmu-miR-466i-5p,-3.15,2.58,1.73,Tmem_vs_Tn,Tmem,Tn,0.0186208713666287,TRUE,FALSE
chr4,32253411,32253502,+,Bach2,ENSMUSG00000040270.16,Intron,mmu-miR-142a-3p,-3.12,2.56,1.72,Tmem_vs_Tn,Tmem,Tn,0.0190546071796325,TRUE,FALSE
chr9,44334723,44334823,+,H2ax,ENSMUSG00000049932.3,CDS,mmu-let-7i-5p,3.11,2.6,1.76,Tmem_vs_Tn,Tmem,Tn,0.0173780082874938,TRUE,FALSE
chr17,47535092,47535166,+,Ccnd3,ENSMUSG00000034165.16,Intron,mmu-miR-466i-5p,-3.11,2.39,1.54,Tmem_vs_Tn,Tmem,Tn,0.0288403150312661,TRUE,FALSE
chr17,39846451,39846529,+,CT010467.1,ENSMUSG00000106106.3,Other,mmu-miR-150-5p,-3.09,2.81,1.97,Tmem_vs_Tn,Tmem,Tn,0.0107151930523761,TRUE,FALSE
chr17,47535181,47535259,+,Ccnd3,ENSMUSG00000034165.16,Intron,mmu-miR-466i-5p,-3.09,2.73,1.89,Tmem_vs_Tn,Tmem,Tn,0.0128824955169313,TRUE,FALSE
chr4,32357001,32357157,+,Bach2,ENSMUSG00000040270.16,Intron,mmu-miR-466i-5p,-3.08,2.96,2.11,Tmem_vs_Tn,Tmem,Tn,0.00776247116628692,TRUE,FALSE
chr5,116007223,116007330,+,Cit,ENSMUSG00000029516.19,3' UTR,mmu-miR-92a-3p,3.06,2.21,1.37,Tmem_vs_Tn,Tmem,Tn,0.0426579518801593,TRUE,FALSE
chr5,25332603,25332653,-,Kmt2c,ENSMUSG00000038056.15,Intron,mmu-miR-142a-3p,-3.06,2.21,1.36,Tmem_vs_Tn,Tmem,Tn,0.0436515832240166,TRUE,FALSE
chr10,42866630,42866708,+,Scml4,ENSMUSG00000044770.14,Intron,mmu-miR-466i-5p,-3.05,2.39,1.55,Tmem_vs_Tn,Tmem,Tn,0.0281838293126445,TRUE,FALSE
chr6,11900503,11900592,-,Ndufa4,ENSMUSG00000029632.7,CDS,mmu-miR-16-5p,3.05,2.28,1.44,Tmem_vs_Tn,Tmem,Tn,0.0363078054770101,TRUE,FALSE
chr10,42882240,42882444,+,Scml4,ENSMUSG00000044770.14,Intron,mmu-miR-466i-5p,-3.04,2.87,2.02,Tmem_vs_Tn,Tmem,Tn,0.00954992586021436,TRUE,FALSE
chr19,5797784,5797882,-,Malat1,ENSMUSG00000092341.3,Other,mmu-miR-16-5p,-3.03,2.47,1.62,Tmem_vs_Tn,Tmem,Tn,0.0239883291901949,TRUE,TRUE
chr7,88530453,88530543,-,Rps13-ps2,ENSMUSG00000069972.6,Other,mmu-miR-210-3p,2.99,2.17,1.33,Tmem_vs_Tn,Tmem,Tn,0.0467735141287198,TRUE,TRUE
chr16,57134656,57134781,+,Tomm70a,ENSMUSG00000022752.9,CDS,mmu-miR-23a-3p,2.95,2.93,2.09,Tmem_vs_Tn,Tmem,Tn,0.008128305161641,TRUE,FALSE
chrM,5797,6022,+,mt-Co1,ENSMUSG00000064351.1,CDS,mmu-miR-155-5p,2.95,2.51,1.67,Tmem_vs_Tn,Tmem,Tn,0.0213796208950223,TRUE,TRUE
chr11,46389130,46389234,-,Itk,ENSMUSG00000020395.13,Intron,mmu-miR-26a-5p,-2.91,2.29,1.44,Tmem_vs_Tn,Tmem,Tn,0.0363078054770101,TRUE,FALSE
chr4,41739374,41739501,-,Sigmar1,ENSMUSG00000036078.16,CDS,mmu-let-7i-5p,2.9,2.21,1.37,Tmem_vs_Tn,Tmem,Tn,0.0426579518801593,TRUE,FALSE
chr10,42882669,42882769,+,Scml4,ENSMUSG00000044770.14,Intron,mmu-miR-466i-5p,-2.88,2.2,1.35,Tmem_vs_Tn,Tmem,Tn,0.0446683592150963,TRUE,FALSE
chr9,13444327,13444420,+,Maml2,ENSMUSG00000031925.17,Intron,mmu-miR-466i-5p,-2.86,2.67,1.83,Tmem_vs_Tn,Tmem,Tn,0.0147910838816821,TRUE,FALSE
chr17,47533915,47533997,+,Ccnd3,ENSMUSG00000034165.16,Intron,mmu-miR-466i-5p,-2.83,2.49,1.64,Tmem_vs_Tn,Tmem,Tn,0.0229086765276777,TRUE,FALSE
chr10,22270083,22270142,-,Gm26740,ENSMUSG00000097705.1,Other,mmu-miR-466i-5p,-2.83,2.33,1.48,Tmem_vs_Tn,Tmem,Tn,0.0331131121482591,TRUE,TRUE
chr16,57134656,57134781,+,Tomm70a,ENSMUSG00000022752.9,CDS,mmu-miR-23b-3p,2.82,2.37,1.53,Tmem_vs_Tn,Tmem,Tn,0.0295120922666639,TRUE,FALSE
chr3,54729417,54729507,-,Exosc8,ENSMUSG00000027752.15,Intron,mmu-miR-30c-5p,2.82,2.34,1.5,Tmem_vs_Tn,Tmem,Tn,0.0316227766016838,TRUE,FALSE
chr4,41739374,41739501,-,Sigmar1,ENSMUSG00000036078.16,CDS,mmu-miR-20a-5p,2.8,2.52,1.68,Tmem_vs_Tn,Tmem,Tn,0.0208929613085404,TRUE,FALSE
chr10,122786099,122786248,+,Ppm1h,ENSMUSG00000034613.12,Intron,mmu-miR-466i-5p,-2.78,2.4,1.56,Tmem_vs_Tn,Tmem,Tn,0.0275422870333817,TRUE,FALSE
chr15,74959196,74959334,+,Ly6e,ENSMUSG00000022587.14,3' UTR,mmu-miR-671-5p,2.77,2.43,1.58,Tmem_vs_Tn,Tmem,Tn,0.0263026799189538,TRUE,FALSE
chr7,24608760,24608870,+,Ethe1,ENSMUSG00000064254.6,CDS,mmu-miR-191-5p,2.74,2.53,1.68,Tmem_vs_Tn,Tmem,Tn,0.0208929613085404,TRUE,FALSE
chr7,126795243,126795443,-,Aldoa,ENSMUSG00000030695.16,CDS,mmu-miR-16-5p,2.72,2.63,1.79,Tmem_vs_Tn,Tmem,Tn,0.0162181009735893,TRUE,FALSE
chr17,39846750,39846804,+,CT010467.1,ENSMUSG00000106106.3,Other,mmu-miR-150-5p,-2.72,2.42,1.57,Tmem_vs_Tn,Tmem,Tn,0.0269153480392692,TRUE,FALSE
chr1,161038077,161038159,+,Snord47|Gas5,ENSMUSG00000064968.1||ENSMUSG00000053332.13,Other,mmu-miR-23a-3p,2.69,2.22,1.37,Tmem_vs_Tn,Tmem,Tn,0.0426579518801593,TRUE,FALSE
chr17,50529046,50529124,+,Plcl2,ENSMUSG00000038910.7,Intron,mmu-miR-466f-3p,2.67,2.78,1.93,Tmem_vs_Tn,Tmem,Tn,0.0117489755493953,TRUE,FALSE
chr5,23702847,23702959,-,AI506816,ENSMUSG00000105987.4,Other,mmu-let-7i-5p,2.61,2.33,1.49,Tmem_vs_Tn,Tmem,Tn,0.0323593656929628,TRUE,FALSE
chr7,16368518,16368623,-,Sae1,ENSMUSG00000052833.9,CDS,mmu-miR-155-5p,2.6,2.41,1.57,Tmem_vs_Tn,Tmem,Tn,0.0269153480392692,TRUE,FALSE
chr10,22270302,22270405,-,Gm26740,ENSMUSG00000097705.1,Other,mmu-miR-466i-5p,-2.6,2.41,1.57,Tmem_vs_Tn,Tmem,Tn,0.0269153480392692,TRUE,TRUE
chr16,92806420,92806494,-,Runx1,ENSMUSG00000022952.17,Intron,mmu-miR-466i-5p,-2.58,2.26,1.42,Tmem_vs_Tn,Tmem,Tn,0.0380189396320561,TRUE,FALSE
chr15,81041051,81041174,-,Mrtfa,ENSMUSG00000042292.18,Intron,mmu-miR-466i-5p,-2.55,2.18,1.33,Tmem_vs_Tn,Tmem,Tn,0.0467735141287198,TRUE,FALSE
chr17,39847005,39847086,+,CT010467.1,ENSMUSG00000106106.3,Other,mmu-miR-21a-5p,2.54,2.43,1.59,Tmem_vs_Tn,Tmem,Tn,0.0257039578276886,TRUE,FALSE
chr6,47781626,47781663,+,Rny3,ENSMUSG00000064945.1,Other,mmu-miR-30c-5p,2.53,2.71,1.86,Tmem_vs_Tn,Tmem,Tn,0.0138038426460288,TRUE,FALSE
chr10,42871520,42871610,+,Scml4,ENSMUSG00000044770.14,Intron,mmu-miR-466i-5p,-2.5,2.24,1.4,Tmem_vs_Tn,Tmem,Tn,0.0398107170553497,TRUE,FALSE
chr9,13444420,13444608,+,Maml2,ENSMUSG00000031925.17,Intron,mmu-miR-466i-5p,-2.41,2.46,1.62,Tmem_vs_Tn,Tmem,Tn,0.0239883291901949,TRUE,FALSE
chr17,39847919,39848064,+,CT010467.1,ENSMUSG00000106106.3,Other,mmu-miR-142a-3p,-2.31,3.56,2.72,Tmem_vs_Tn,Tmem,Tn,0.00190546071796325,TRUE,FALSE
chr17,39846845,39846910,+,CT010467.1,ENSMUSG00000106106.3,Other,mmu-let-7i-3p,2.29,3.55,2.7,Tmem_vs_Tn,Tmem,Tn,0.00199526231496888,TRUE,FALSE
chrM,1655,1696,+,mt-Rnr2,ENSMUSG00000064339.1,Other,mmu-miR-142a-3p,-2.27,3.61,2.77,Tmem_vs_Tn,Tmem,Tn,0.00169824365246174,TRUE,TRUE
chr15,9506866,9506986,-,Il7r,ENSMUSG00000003882.5,3' UTR,mmu-miR-15b-5p,-2.23,2.18,1.34,Tmem_vs_Tn,Tmem,Tn,0.0457088189614875,TRUE,FALSE
chr17,39846824,39846845,+,CT010467.1,ENSMUSG00000106106.3,Other,mmu-let-7i-3p,2.19,2.28,1.43,Tmem_vs_Tn,Tmem,Tn,0.0371535229097173,TRUE,FALSE
chrM,12882,13028,+,mt-Nd5,ENSMUSG00000064367.1,CDS,mmu-miR-24-3p,2.02,2.87,2.02,Tmem_vs_Tn,Tmem,Tn,0.00954992586021436,TRUE,TRUE
chrM,1696,1746,+,mt-Rnr2,ENSMUSG00000064339.1,Other,mmu-miR-142a-3p,-1.8,2.24,1.39,Tmem_vs_Tn,Tmem,Tn,0.0407380277804113,TRUE,TRUE
chr3,69085210,69085302,-,Gm22009,ENSMUSG00000089417.1,Other,mmu-miR-466i-5p,-1.76,2.21,1.36,Tmem_vs_Tn,Tmem,Tn,0.0436515832240166,TRUE,TRUE
